Transparent|透明
Iron‐Barred Window A|鉄格子A
Iron‐Barred Window B|鉄格子B
Iron‐Barred Window C|鉄格子C
Pot C|壺C
Stone Pillar A|石の柱A
Stone Pillar B|石の柱B
Stone Pillar C|石の柱C
Stone Pillar D|石の柱D
Broken Stone Pillar A|折れた石の柱A
Broken Stone Pillar B|折れた石の柱B
Broken Stone Pillar C|折れた石の柱C
Broken Stone Pillar D|折れた石の柱D
Stone Pillar A|石の柱A
Stone Pillar B|石の柱B
Stone Pillar C|石の柱C
Stone Pillar D|石の柱D
Broken Stone Pillar A|折れた石の柱A
Broken Stone Pillar B|折れた石の柱B
Broken Stone Pillar C|折れた石の柱C
Broken Stone Pillar D|折れた石の柱D
Angel Statue A|天使像A
Angel Statue B|天使像B
Broken Angel Statue A|壊れた天使像A
Broken Angel Statue B|壊れた天使像B
Demon Statue A|悪魔像A
Demon Statue B|悪魔像B
Bones A|骸骨A
Bones B|骸骨B
Angel Statue A|天使像A
Angel Statue B|天使像B
Broken Demon Statue A|壊れた悪魔像A
Broken Demon Statue B|壊れた悪魔像B
Demon Statue A|悪魔像A
Demon Statue B|悪魔像B
Bones C|骸骨C
Mirror B|鏡B
Sack A|麻袋A
Sack B|麻袋B
Clock A|時計A
Clock B|時計B
Painting|絵画
World Map|世界地図
Mirror A|鏡A
Mirror B|鏡B
Fireplace A (Stone)|暖炉A（石）
Fireplace B (Brick)|暖炉B（レンガ）
Fireplace C (Cray)|暖炉C（土）
Fireplace D (Iron)|暖炉D（鉄）
Large Bed|大きなベッド
Large Bed|大きなベッド
Large Quilt|大きな掛け布団
Large Quilt|大きな掛け布団
Fireplace A (Stone)|暖炉A（石）
Fireplace B (Brick)|暖炉B（レンガ）
Fireplace C (Cray)|暖炉C（土）
Fireplace D (Iron)|暖炉D（鉄）
Large Bed|大きなベッド
Large Bed|大きなベッド
Quilt A|掛け布団A
Quilt B|掛け布団B
Fireplace A (Stone)|暖炉A（石）
Fireplace B (Brick)|暖炉B（レンガ）
Fireplace C (Cray)|暖炉C（土）
Fireplace D (Iron)|暖炉D（鉄）
Bed A|ベッドA
Bed B|ベッドB
Bed C|ベッドC
Quilt C|掛け布団C
Fireplace A (Stone)|暖炉A（石）
Fireplace B (Brick)|暖炉B（レンガ）
Fireplace C (Cray)|暖炉C（土）
Fireplace D (Iron)|暖炉D（鉄）
Bed A|ベッドA
Bed B|ベッドB
Bed C|ベッドC
Posted Notice|貼り紙
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Piano|ピアノ
Piano|ピアノ
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Piano|ピアノ
Piano|ピアノ
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace A|大きな暖炉A
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Large Fireplace B|大きな暖炉B
Bookshelf A|本棚A
Bookshelf B|本棚B
Table A|テーブルA
Table B|テーブルB
Table C|テーブルC
Lantern A|ランタンA
Inside The Tent|テント内部
Lantern B|ランタンB
Bookshelf A|本棚A
Bookshelf B|本棚B
Chair A (Wood)|背もたれ椅子A（木製）
Chair B (Stone)|背もたれ椅子B（石）
Chair C (Noble)|背もたれ椅子C（貴族）
Inside The Tent|テント内部
Inside The Tent|テント内部
Inside The Tent|テント内部
Dish Cabinet A|食器棚A
Bookshelf C|本棚C
Chair A (Wood)|背もたれ椅子A（木製）
Chair B (Stone)|背もたれ椅子B（石）
Chair C (Noble)|背もたれ椅子C（貴族）
Inside The Tent|テント内部
Inside The Tent|テント内部
Inside The Tent|テント内部
Dish Cabinet A|食器棚A
Bookshelf C|本棚C
Stool A|椅子A
Stool B|椅子B
Stool C|椅子C
Inside The Tent|テント内部
Inside The Tent|テント内部
Inside The Tent|テント内部
Dish Cabinet B|食器棚B
Dish Cabinet C|食器棚C
Oven A|かまどA
Sink A|流しA
Kitchen Counter A|調理台A
Stool D|椅子D
Firewood A|薪A
Firewood B|薪B
Dish Cabinet B|食器棚B
Dish Cabinet C|食器棚C
Oven B|かまどB
Sink B|流しB
Kitchen Counter B|調理台B
Fissures|亀裂
Stain|汚れ
Chest of Drawers A|タンスA
Sundries Shelf A|雑貨棚A
Sundries Shelf B|雑貨棚B
Oven C|かまどC
Sink C|流しC
Kitchen Counter C|調理台C
Armor|鎧
Shield|盾
Chest of Drawers A|タンスA
Sundries Shelf A|雑貨棚A
Sundries Shelf B|雑貨棚B
Tapestry A|タペストリーA
Tapestry B|タペストリーB
Tapestry C|タペストリーC
Sword|剣
Axe|斧
Chest of Drawers B|タンスB
Chest of Drawers C|タンスC
Sundries Shelf C|雑貨棚C
Tapestry A|タペストリーA
Tapestry B|タペストリーB
Tapestry C|タペストリーC
Spear|槍
Spear|槍
Chest of Drawers B|タンスB
Chest of Drawers C|タンスC
Sundries Shelf C|雑貨棚C
