Hanging Foodstuff A|吊るした食材A
Hunting Trophy A|ハンティング・トロフィーA
Hunting Trophy B|ハンティング・トロフィーB
Candlestand A|燭台A
Candlestand B|燭台B
Candlestand C|燭台C
Candlestand D|燭台D
Candlestand E|燭台E
Candlestand F|燭台F
Candlestand G|燭台G
Candlestand H|燭台H
Banister A (Wood)|階段用手すりA（木製）
Banister A (Wood)|階段用手すりA（木製）
Church Table A|教会机A
Church Table A|教会机A
Church Table A|教会机A
Church Table B|教会机B
Church Table B|教会机B
Church Table B|教会机B
Banister A (Wood)|階段用手すりA（木製）
Banister A (Wood)|階段用手すりA（木製）
Church Table A|教会机A
Church Table A|教会机A
Church Table A|教会机A
Church Table B|教会机B
Church Table B|教会机B
Church Table B|教会机B
Banister A (Wood)|階段用手すりA（木製）
Banister A (Wood)|階段用手すりA（木製）
Church Table C|教会机C
Church Table C|教会机C
Church Table C|教会机C
Church Table D|教会机D
Church Table D|教会机D
Church Table D|教会机D
Banister B (Wood)|階段用手すりB（木製）
Banister B (Wood)|階段用手すりB（木製）
Church Table C|教会机C
Church Table C|教会机C
Church Table C|教会机C
Church Table D|教会机D
Church Table D|教会机D
Church Table D|教会机D
Banister B (Wood)|階段用手すりB（木製）
Banister B (Wood)|階段用手すりB（木製）
Crystal Ball A|水晶玉A
Crystal Ball B|水晶玉B
Cloth A(Magic Circle)|布A（魔法陣）
Cloth B(Magic Circle)|布B（魔法陣）
Dais A|台座A
Dais B|台座B
Banister B (Wood)|階段用手すりB（木製）
Banister B (Wood)|階段用手すりB（木製）
Crystal Ball C|水晶玉C
Crystal Ball D|水晶玉D
Cloth C(Magic Circle)|布C（魔法陣）
Cloth D(Magic Circle)|布D（魔法陣）
Dais C|台座C
Dais D|台座D
Railings A (Wood)|段差用手すりA（木製）
Railings A (Wood)|段差用手すりA（木製）
Railings A (Wood)|段差用手すりA（木製）
Railings A (Wood)|段差用手すりA（木製）
Railings B (Wood)|段差用手すりB（木製）
Railings B (Wood)|段差用手すりB（木製）
Railings B (Wood)|段差用手すりB（木製）
Railings B (Wood)|段差用手すりB（木製）
Railings(Stone)|段差用手すり（石製）
Railings(Stone)|段差用手すり（石製）
Railings(Stone)|段差用手すり（石製）
Railings(Stone)|段差用手すり（石製）
Railings(Ice)|段差用手すり（氷製）
Railings(Ice)|段差用手すり（氷製）
Railings(Ice)|段差用手すり（氷製）
Railings(Ice)|段差用手すり（氷製）
Banister(Stone)|階段用手すり（石）
Banister(Stone)|階段用手すり（石）
Big Dais|大きな台座
Big Dais|大きな台座
Big Dais|大きな台座
Curtains A|カーテンA
Curtains A|カーテンA
Curtains A|カーテンA
Banister(Stone)|階段用手すり（石）
Banister(Stone)|階段用手すり（石）
Big Dais|大きな台座
Big Dais|大きな台座
Big Dais|大きな台座
Curtains A|カーテンA
Curtains A|カーテンA
Curtains A|カーテンA
Banister(Stone)|階段用手すり（石）
Banister(Stone)|階段用手すり（石）
Big Dais|大きな台座
Big Dais|大きな台座
Big Dais|大きな台座
Curtains A|カーテンA
Curtains A|カーテンA
Curtains A|カーテンA
Banister(Ice)|階段用手すり（氷）
Banister(Ice)|階段用手すり（氷）
Curtains B|カーテンB
Curtains B|カーテンB
Curtains B|カーテンB
Stone Enclosure|石の囲い
Stone Enclosure|石の囲い
Stone Enclosure|石の囲い
Banister(Ice)|階段用手すり（氷）
Banister(Ice)|階段用手すり（氷）
Curtains B|カーテンB
Curtains B|カーテンB
Curtains B|カーテンB
Stone Enclosure|石の囲い
Stone Enclosure|石の囲い
Stone Enclosure|石の囲い
Banister(Ice)|階段用手すり（氷）
Banister(Ice)|階段用手すり（氷）
Curtains B|カーテンB
Curtains B|カーテンB
Curtains B|カーテンB
Stone Enclosure|石の囲い
Stone Enclosure|石の囲い
Stone Enclosure|石の囲い
